;; -*- coding: utf-8-mcs-er -*-
HZK12-A6AF	&HZK12-A6AF;	⿰&B-ADB5;⿰口口&CDP-8DF9;&M-03115;
HZK12-A6B0	&HZK12-A6B0;	⿰&B-ADB5;&GT-11938;
HZK12-A6B1	&HZK12-A6B1;	⿲&B-ADB5;&B-B0A8;念
HZK12-A6B2	&HZK12-A6B2;	⿰&B-ADB5;&B-C646;
HZK12-A6CA	&HZK12-A6CA;	⿱巛𦣻
HZK12-A6E9	&HZK12-A6E9;	⿰丁&B-ADBA;
HZK12-C9AB	&HZK12-C9AB;	⿰&B-B3BD;&B-B3BE;
HZK12-C9AC	&HZK12-C9AC;	匊大&B-B3BE;
HZK12-C9AE	&HZK12-C9AE;	⿰&GT-11788;&CDP-8A52;
HZK12-C9AF	&HZK12-C9AF;	&B-B3C2;&B-B3BE;
HZK12-C9B0	&HZK12-C9B0;	⿰&B-B3BE;庸
HZK12-C9B2	&HZK12-C9B2;	⿰章&B-B3BE;
HZK12-C9B3	&HZK12-C9B3;	⿰&C4-3074;&B-B3BE;
HZK12-C9B4	&HZK12-C9B4;	⿰&G0-494C;&B-B3BE;
HZK12-C9B6	&HZK12-C9B6;	⿰率&B-B3BE;
HZK12-C9B7	&HZK12-C9B7;	⿰&GT-36650;&B-B3BE;
HZK12-C9B8	&HZK12-C9B8;	⿰&B-B3BE;渠
HZK12-C9B9	&HZK12-C9B9;	⿰渠&B-B3BE;
HZK12-C9CA	&HZK12-C9CA;	⿰淶&B-B3BE;
HZK12-C9CB	&HZK12-C9CB;	⿰&B-B3BE;寇
HZK12-C9CC	&HZK12-C9CC;	⿰&GT-09073;&B-B3BE;
HZK12-C9CD	&HZK12-C9CD;	⿰⿱必&B-A6E4;&B-B3BE;
HZK12-C9CE	&HZK12-C9CE;	⿱&B-B6A6;&B-B3BE;
HZK12-C9CF	&HZK12-C9CF;	⿰&GT-36924;&B-B3BE;
HZK12-C9D0	&HZK12-C9D0;	⿰&B-B3BE;&M-28665;
HZK12-C9D2	&HZK12-C9D2;	⿰&UU+7FCF;&CDP-8A52;
HZK12-C9D3	&HZK12-C9D3;	⿰堯&B-B3BE;
HZK12-C9D4	&HZK12-C9D4;	⿰&B-B64E;&B-B3BE;
HZK12-C9D5	&HZK12-C9D5;	工目&GT-25336;&B-B3BE;
HZK12-C9D6	&HZK12-C9D6;	⿰&B-B3BE;壹
HZK12-C9D7	&HZK12-C9D7;	⿰壹&B-B3BE;
HZK12-C9D8	&HZK12-C9D8;	⿱殼&B-B3BE;
HZK12-C9D9	&HZK12-C9D9;	⿰惡&B-B3BE;
HZK12-C9DA	&HZK12-C9DA;	⿰斯&B-B3BE;
HZK12-C9DB	&HZK12-C9DB;	⿱斯&B-B3BE;
HZK12-C9DC	&HZK12-C9DC;	⿰欺&B-B3BE;
HZK12-C9EA	&HZK12-C9EA;	⿰&J78-4551;&B-B3BE;
HZK12-C9EC	&HZK12-C9EC;	&CDP-89B6;田&B-B3BE;
HZK12-C9ED	&HZK12-C9ED;	⺿昏&B-B3BE;
HZK12-C9EE	&HZK12-C9EE;	⿰朝&B-B3BE;
HZK12-C9EF	&HZK12-C9EF;	&CDP-8D52;&B-AB41;&B-B3BE;
HZK12-C9F1	&HZK12-C9F1;	厤&B-B3BE;
HZK12-C9F2	&HZK12-C9F2;	⿰厥&B-B3BE;
HZK12-C9F5	&HZK12-C9F5;	⿰&CDP-8CF2;&CDP-8A52;
