;; -*- coding: utf-8-mcs-er -*-
U+2EDCA	𮷊	⿰讠番
U+2EDCB	𮷋	⿰豆力
U+2EDCC	𮷌	⿰贝亅
U+2EDCD	𮷍	⿰贝宁
U+2EDCE	𮷎	⿰云员
U+2EDCF	𮷏	⿰员匀
U+2EDD0	𮷐	⿰君员
U+2EDD1	𮷑	⿰赤员
U+2EDD2	𮷒	⿰𧾷尖
U+2EDD3	𮷓	⿰身为
U+2EDD4	𮷔	⿰身未
U+2EDD5	𮷕	⿰半身
U+2EDD6	𮷖	⿰车几
U+2EDD7	𮷗	⿰车太
U+2EDD8	𮷘	⿰车气
U+2EDD9	𮷙	⿰车鸟
U+2EDDA	𮷚	⿱壮车
U+2EDDB	𮷛	⿱车⿰车车
U+2EDDC	𮷜	⿰车前
U+2EDDD	𮷝	⿰车舀
U+2EDDE	𮷞	⿺辶龵
U+2EDDF	𮷟	⿺辶禾
U+2EDE0	𮷠	⿺辶圣
U+2EDE1	𮷡	⿺辶犾
U+2EDE2	𮷢	⿺辶金
U+2EDE3	𮷣	⿺辶芫
U+2EDE4	𮷤	⿺辶段
U+2EDE5	𮷥	⿺辶顼
U+2EDE6	𮷦	⿺辶预
U+2EDE7	𮷧	⿺辶商
U+2EDE8	𮷨	⿰历⻏
U+2EDE9	𮷩	⿰月⻏
U+2EDEA	𮷪	⿰佥⻏
U+2EDEB	𮷫	⿰孟⻏
U+2EDEC	𮷬	⿰显⻏
U+2EDED	𮷭	⿰香⻏
U+2EDEE	𮷮	⿱相里
U+2EDEF	𮷯	⿱尔金
U+2EDF0	𮷰	⿰金呆
U+2EDF1	𮷱	⿰金初
U+2EDF2	𮷲	⿰金⿱从龰
U+2EDF3	𮷳	⿱冼金
U+2EDF4	𮷴	⿰金𢛳
U+2EDF5	𮷵	⿰钅己
U+2EDF6	𮷶	⿰钅义
U+2EDF7	𮷷	⿰钅丰
U+2EDF8	𮷸	⿰钅元
U+2EDF9	𮷹	⿰钅云
U+2EDFA	𮷺	⿰钅攵
U+2EDFB	𮷻	⿰钅风
U+2EDFC	𮷼	⿰钅丹
U+2EDFD	𮷽	⿰钅予
U+2EDFE	𮷾	⿰钅艺
U+2EDFF	𮷿	⿰钅示
U+2EE00	𮸀	⿰钅𫠣
U+2EE01	𮸁	⿰钅仛
U+2EE02	𮸂	⿰钅用
U+2EE03	𮸃	⿰钅永
U+2EE04	𮸄	⿰钅戎
U+2EE05	𮸅	⿰钅臣
U+2EE06	𮸆	⿰钅庆
U+2EE07	𮸇	⿰钅𣲇
U+2EE08	𮸈	⿰钅军
U+2EE09	𮸉	⿰钅贡
U+2EE0A	𮸊	⿰钅利
U+2EE0B	𮸋	⿰钅余
U+2EE0C	𮸌	⿰钅希
U+2EE0D	𮸍	⿰钅应
U+2EE0E	𮸎	⿰钅闷
U+2EE0F	𮸏	⿰钅夋
U+2EE10	𮸐	⿰钅芳
U+2EE11	𮸑	⿰钅林
U+2EE12	𮸒	⿰钅昇
U+2EE13	𮸓	⿰钅⿱刅木
U+2EE14	𮸔	⿰钅春
U+2EE15	𮸕	⿰钅畐
U+2EE16	𮸖	⿰钅𪾋
U+2EE17	𮸗	⿰钅显
U+2EE18	𮸘	⿰钅亮
U+2EE19	𮸙	⿰钅秦
U+2EE1A	𮸚	⿰钅恩
U+2EE1B	𮸛	⿰钅豈
U+2EE1C	𮸜	⿰钅𧯜
U+2EE1D	𮸝	⿰钅莹
U+2EE1E	𮸞	⿰钅基
U+2EE1F	𮸟	⿰钅常
U+2EE20	𮸠	⿰钅宽
U+2EE21	𮸡	⿰钅焱
U+2EE22	𮸢	⿰钅凱
U+2EE23	𮸣	⿰钅震
U+2EE24	𮸤	⿰镸天
U+2EE25	𮸥	⿵门吉
U+2EE26	𮸦	⿵门咅
U+2EE27	𮸧	⿵门朔
U+2EE28	𮸨	⿰⻖青
U+2EE29	𮸩	⿰⻖星
U+2EE2A	𮸪	⿰⻖猗
U+2EE2B	𮸫	⿱雨凡
U+2EE2C	𮸬	⿱雨玉
U+2EE2D	𮸭	⿰青华
U+2EE2E	𮸮	⿰革见
U+2EE2F	𮸯	⿰𠂤韦
U+2EE30	𮸰	⿰畐韦
U+2EE31	𮸱	⿰音乞
U+2EE32	𮸲	⿰音尤
U+2EE33	𮸳	⿰音殳
U+2EE34	𮸴	⿰页凡
U+2EE35	𮸵	⿰㞺页
U+2EE36	𮸶	⿰昱页
U+2EE37	𮸷	⿰音页
U+2EE38	𮸸	⿰扁页
U+2EE39	𮸹	⿰雇页
U+2EE3A	𮸺	⿱频平
U+2EE3B	𮸻	⿺风易
U+2EE3C	𮸼	⿰焱风
U+2EE3D	𮸽	⿱飞⿰飞飞
U+2EE3E	𮸾	⿰飠文
U+2EE3F	𮸿	⿰饣豕
U+2EE40	𮹀	⿰香宾
U+2EE41	𮹁	⿰馬匀
U+2EE42	𮹂	⿰马飞
U+2EE43	𮹃	⿰马双
U+2EE44	𮹄	⿰马屯
