;; -*- coding: utf-8-mcs-er -*-
U-0002F9D6	&U-0002F9D6;	𥫔
U-0002F9D7	起	⿺走己
U-0002F9D8	𧼯	⿺走&AJ1-04216;
U-0002F9D9	𠠄	𠠄
U-0002F9DA	跋	跋
U-0002F9DB	趼	⿰𧾷&GT-11552;
U-0002F9DC	跰	⿰𧾷&C3-2863;
U-0002F9DD	𠣞	𠣞
U-0002F9DE	軔	軔
U-0002F9DF	輸	⿰車&AJ1-04216;
U-0002F9E0	𨗒	⿺⻍⿱&GT-56689;𡈼
U-0002F9E1	𨗭	⿺⻍⿳𦥔&AJ1-03392;土
U-0002F9E2	邔	⿰已⻖
U-0002F9E3	郱	⿰&C3-2863;⻖
U-0002F9E4	鄑	⿰晋⻖
U-0002F9E5	𨜮	&C6-4F63;
U-0002F9E6	鄛	⿰巢⻖
U-0002F9E7	鈸	&JX1-7D26;
U-0002F9E8	&C6-6353;	⿰金䏍
U-0002F9E9	&C6-634F;	⿰金&AJ1-13760;
U-0002F9EA	鉼	⿰金&C3-2863;
U-0002F9EB	鏹	⿰金强
U-0002F9EC	鐕	⿰金⿱&AJ1-21179;日
U-0002F9ED	𨯺	𨯺
U-0002F9EE	&C6-6358;	⿵&GT-55423;&GT-11552;
U-0002F9EF	䦕	⿵&GT-55423;&C3-2863;
U-0002F9F0	閷	⿰杀&GT-55430;
U-0002F9F1	𨵷	⿵&GT-55423;𥁕
U-0002F9F2	䧦	⿰⻖為
U-0002F9F3	雃	⿰&GT-11552;&GT-56353;
U-0002F9F4	嶲	⿱屮&GT-56394;
U-0002F9F5	霣	⿱&GT-56689;貟
U-0002F9F6	𩅅	⿱&GT-56689;&AJ1-17950;
U-0002F9F7	𩈚	⿰面&C3-2863;
U-0002F9F8	䩮	⿰革&G0-423C;
U-0002F9F9	䩶	⿰革&J90-6950;
U-0002F9FA	&M-43197;	&JSP-6769;
U-0002F9FB	𩐊	⿰&GT-11066;⿱&J90-3C21;韭
U-0002F9FC	䪲	⿰&AJ1-04209;頁
U-0002F9FD	𩒖	⿰开頁
U-0002F9FE	頋	⿰⿸厂㔾頁
U-0002F9FF	&M-43411;	⿰⿸厂巳頁
U-0002FA00	頩	⿰&C3-2863;頁
U-0002FA01	&C6-643A;	⿺&GT-58717;术
U-0002FA02	&C6-3C77;	⿰&GT-59024;儿
U-0002FA03	䬳	&UU+4B33;
U-0002FA04	餩	&UU+9929;
U-0002FA05	馧	⿰香昷
U-0002FA06	駂	駂
U-0002FA07	駾	⿰馬兑
U-0002FA08	䯎	⿰&GT-60709;&CDP-8D4A;
U-0002FA09	𩬰	⿱髟⿰工&AJ1-03724;
U-0002FA0A	鬒	⿱髟真
U-0002FA0B	鱀	⿱&M-13724;魚
U-0002FA0C	鳽	⿰&GT-11552;鳥
U-0002FA0D	䳎	⿰𦥑鳥
U-0002FA0E	䳭	⿰即鳥
U-0002FA0F	鵧	⿰&C3-2863;鳥
U-0002FA10	𪃎	⿰&AJ1-04216;鳥
U-0002FA11	䳸	⿸&GT-65257;鳥
U-0002FA12	𪄅	⿱&GT-21319;鳥
U-0002FA13	𪈎	⿰頼鳥
U-0002FA14	𪊑	⿸&GT-64754;&GT-11552;
U-0002FA15	麻	⿸&GT-11620;𣏟
U-0002FA16	䵖	⿱𠭃黍
U-0002FA17	黹	⿱&CDP-8D6B;&AJ1-17590;
U-0002FA18	黾	⿱口&CDP-8BE8;
U-0002FA19	&U-0002FA19;	⿱知&J90-7366;
U-0002FA1A	&C5-5351;	&JSP-6D26;
