;; -*- coding: utf-8-mcs-er -*-
C2-2575	&I-C2-2575;	⿰&GT-K00199;占
C2-2576	&C2-2576;	⿰&GT-K00199;央
C2-2577	&I-C2-2577;	⿰&GT-K00199;冋
C2-2578	&I-C2-2578;	⿰&GT-K00199;母
C2-2579	&I-C2-2579;	⿰&GT-K00199;乎
C2-257A	&I-C2-257A;	⿰&GT-K00199;丘
C2-257B	&I-C2-257B;	⿰&GT-K00199;&M-17027;
C2-257C	&I-C2-257C;	⿰&GT-K00199;幼
C2-257D	&C2-257D;	⿱圥土
C2-257E	&I-C2-257E;	⿰&GT-K00199;半
C2-2621	&I-C2-2621;	⿰&GT-K00199;它
C2-2622	&C2-2622;	⿰&GT-K00199;&GT-K01023;
C2-2623	&C2-2623;	⿱&CDP-8BCA;夊
C2-2624	&I-C2-2624;	⿱大卯
C2-2625	&C2-2625;	⿰&C1-444C;主
C2-2626	&C2-2626;	⿰&C1-444C;末
C2-2627	&I-C2-2627;	⿰&C1-444C;甘
C2-2628	&I-C2-2628;	⿰&C1-444C;央
C2-2629	&C2-2629;	⿰&C1-444C;旦
C2-262A	&C2-262A;	⿰&C1-444C;冉
C2-262B	&C2-262B;	⿰&C1-444C;句
C2-262C	&C2-262C;	⿰&C1-444C;玄
C2-262D	&C2-262D;	⿰&C1-444C;必
C2-262E	&C2-262E;	⿰&C1-444C;正
C2-262F	&C2-262F;	⿰&C1-444C;&M-08722;
C2-2630	&C2-2630;	⿰&C1-444C;召
C2-2631	&C2-2631;	⿰&C1-444C;申
C2-2632	&C2-2632;	⿰&C1-444C;禾
C2-2633	&C2-2633;	⿰&C1-444C;&GT-K01023;
C2-2634	&C2-2634;	⿱夗&C1-444C;
C2-2635	&C2-2635;	⿱付&C1-444C;
C2-2636	&I-C2-2636;	⿰子包
C2-2637	&I-C2-2637;	⿱&C1-4643;子
C2-2638	&I-C2-2638;	⿱宀必
C2-2639	&I-C2-2639;	⿱宀石
C2-263A	&C2-263A;	⿸尸&C1-467E;
C2-263B	&I-C2-263B;	⿸尸田
C2-263C	&C2-263C;	⿰山它
C2-263D	&I-C2-263D;	⿰山&C1-467E;
C2-263E	&I-C2-263E;	⿰山&M-08722;
C2-263F	&I-C2-263F;	⿰山古
C2-2640	&I-C2-2640;	⿰山丕
C2-2641	&I-C2-2641;	⿰山且
C2-2642	&I-C2-2642;	⿰山甲
C2-2643	&I-C2-2643;	⿰山央
C2-2644	&I-C2-2644;	⿰山句
C2-2645	&C2-2645;	⿰山&GT-K01023;
C2-2646	&I-C2-2646;	⿱山可
C2-2647	&I-C2-2647;	⿱山弗
C2-2648	&I-C2-2648;	⿱山召
C2-2649	&I-C2-2649;	⿱山乍
C2-264A	&I-C2-264A;	⿰山皮
C2-264B	&I-C2-264B;	⿰山白
C2-264C	&I-C2-264C;	⿰山幼
C2-264D	&I-C2-264D;	⿱山立
C2-264E	&M-08850;	⿰巾&M-20236;
C2-264F	&I-C2-264F;	⿰巾皮
C2-2650	&I-C2-2650;	⿰巾失
C2-2651	&I-C2-2651;	⿰弓召
C2-2652	&I-C2-2652;	⿰弓𠬢
C2-2653	&I-C2-2653;	⿰弓付
C2-2654	&I-C2-2654;	⿰弓&M-17027;
C2-2655	&C2-2655;	⿱彑⺢
C2-2656	&I-C2-2656;	⿰彳且
C2-2657	&C2-2657;	⿰彳&GT-K01023;
C2-2658	&I-C2-2658;	⿰彳&M-17027;
C2-2659	&C2-2659;	⿱文心
C2-265A	&I-C2-265A;	⿹气心
C2-265B	&I-C2-265B;	⿰⺖必
C2-265C	&I-C2-265C;	⿰⺖平
C2-265D	&I-C2-265D;	⿰⺖古
C2-265E	&I-C2-265E;	⿰⺖丙
C2-265F	&I-C2-265F;	⿰⺖民
C2-2660	&I-C2-2660;	⿰⺖戉
C2-2661	&I-C2-2661;	⿰⺖召
