;; -*- coding: utf-8-mcs-er -*-
U-0002A89F	𪢟	⿰員爭
U-0002A8A0	𪢠	⿰口鋪
U-0002A8A1	𪢡	⿰口德
U-0002A8A2	𪢢	⿱鄊向
U-0002A8A3	𪢣	⿲口高羊
U-0002A8A4	𪢤	⿰口⿱艹阑
U-0002A8A5	𪢥	⿰告喬
U-0002A8A6	𪢦	⿰喜宜
U-0002A8A7	𪢧	⿰喜明
U-0002A8A8	𪢨	⿰口矯
U-0002A8A9	𪢩	⿰口邊
U-0002A8AA	𪢪	⿰哥舞
U-0002A8AB	𪢫	⿰口聽
U-0002A8AC	𪢬	⿴囗文
U-0002A8AD	𪢭	⿴囗丕
U-0002A8AE	𪢮	⿴囗羊
U-0002A8AF	𪢯	⿴囗車
U-0002A8B0	𪢰	⿴囗昆
U-0002A8B1	𪢱	⿴囗並
U-0002A8B2	𪢲	⿴囗栾
U-0002A8B3	𪢳	⿴囗莧
U-0002A8B4	𪢴	⿰圓丸
U-0002A8B5	𪢵	⿱土卜
U-0002A8B6	𪢶	⿰土又
U-0002A8B7	𪢷	⿱去𠃍
U-0002A8B8	𪢸	⿰土土
U-0002A8B9	𪢹	⿰土凡
U-0002A8BA	𪢺	⿱夂土
U-0002A8BB	𪢻	⿰土亡
U-0002A8BC	𪢼	⿰土无
U-0002A8BD	𪢽	⿰土冇
U-0002A8BE	𪢾	⿰土攴
U-0002A8BF	𪢿	⿰土月
U-0002A8C0	𪣀	⿰土化
U-0002A8C1	𪣁	⿰土丰
U-0002A8C2	𪣂	⿱火土
U-0002A8C3	𪣃	⿱文土
U-0002A8C4	𪣄	⿰土水
U-0002A8C5	𪣅	⿰土巴
U-0002A8C6	𪣆	⿰土允
U-0002A8C7	𪣇	⿰土孔
U-0002A8C8	𪣈	⿰土丙
U-0002A8C9	𪣉	⿱土厈
U-0002A8CA	𪣊	⿰土世
U-0002A8CB	𪣋	⿰土东
U-0002A8CC	𪣌	⿰土乏
U-0002A8CD	𪣍	⿰土⿱几口
U-0002A8CE	𪣎	⿰土永
U-0002A8CF	𪣏	⿰土必
U-0002A8D0	𪣐	⿰土存
U-0002A8D1	𪣑	⿰土耳
U-0002A8D2	𪣒	⿰土⿱日乃
U-0002A8D3	𪣓	⿰土朱
U-0002A8D4	𪣔	⿰土州
U-0002A8D5	𪣕	⿰土庄
U-0002A8D6	𪣖	⿰土农
U-0002A8D7	𪣗	⿰土军
U-0002A8D8	𪣘	⿰土⿸尸乇
U-0002A8D9	𪣙	⿰土吾
U-0002A8DA	𪣚	⿰土克
U-0002A8DB	𪣛	⿱廿⿻口土
U-0002A8DC	𪣜	⿱𣏒土
U-0002A8DD	𪣝	⿱辰土
U-0002A8DE	𪣞	⿰土吳
U-0002A8DF	𪣟	⿰土⿳日丷一
U-0002A8E0	𪣠	⿰土妟
U-0002A8E1	𪣡	⿰土利
U-0002A8E2	𪣢	⿰土秀
U-0002A8E3	𪣣	⿰土皂
U-0002A8E4	𪣤	⿰土𥤥
U-0002A8E5	𪣥	⿰土罕
U-0002A8E6	𪣦	⿰土吝
U-0002A8E7	𪣧	⿱沃土
U-0002A8E8	𪣨	⿰土汶
U-0002A8E9	𪣩	⿰土君
U-0002A8EA	𪣪	⿰土昔
U-0002A8EB	𪣫	⿰土武
U-0002A8EC	𪣬	⿰土明
U-0002A8ED	𪣭	⿰土昌
U-0002A8EE	𪣮	⿰土𤰠
U-0002A8EF	𪣯	⿰土肯
U-0002A8F0	𪣰	⿱⿰月升土
U-0002A8F1	𪣱	⿰土刻
U-0002A8F2	𪣲	⿰土官
U-0002A8F3	𪣳	⿱波土
U-0002A8F4	𪣴	⿰土泥
U-0002A8F5	𪣵	⿰土宜
U-0002A8F6	𪣶	⿰土⿱罒廾
U-0002A8F7	𪣷	⿰垃⿱𠂉丨
U-0002A8F8	𪣸	⿰土苗
U-0002A8F9	𪣹	⿰土⿱而寸
U-0002A8FA	𪣺	⿰土政
U-0002A8FB	𪣻	⿰土背
U-0002A8FC	𪣼	⿱叙土
U-0002A8FD	𪣽	⿰土奐
U-0002A8FE	𪣾	⿰叙土
U-0002A8FF	𪣿	⿰土亭
U-0002A900	𪤀	⿰土恰
U-0002A901	𪤁	⿰土娄
U-0002A902	𪤂	⿰土奕
U-0002A903	𪤃	⿰圣孛
U-0002A904	𪤄	⿰土能
U-0002A905	𪤅	⿱⿰耳升土
U-0002A906	𪤆	⿱⿰臣月土
U-0002A907	𪤇	⿲土豆寸
U-0002A908	𪤈	⿰土⿱目皿
U-0002A909	𪤉	⿰土晏
U-0002A90A	𪤊	⿰土罢
U-0002A90B	𪤋	⿰土党
U-0002A90C	𪤌	⿰土扇
U-0002A90D	𪤍	⿰土倉
U-0002A90E	𪤎	⿱般土
U-0002A90F	𪤏	⿰土𣳾
U-0002A910	𪤐	⿱浪土
U-0002A911	𪤑	⿰土离
U-0002A912	𪤒	⿰土桑
U-0002A913	𪤓	⿰土展
U-0002A914	𪤔	⿰土連
U-0002A915	𪤕	⿰土基
U-0002A916	𪤖	⿰⿱土干⿳彑𠂊巾
U-0002A917	𪤗	⿰土國
U-0002A918	𪤘	⿰土盒
U-0002A919	𪤙	⿰土敏
U-0002A91A	𪤚	⿰土⿸戸甫
U-0002A91B	𪤛	⿰土產
U-0002A91C	𪤜	⿰土將
U-0002A91D	𪤝	⿰土翏
U-0002A91E	𪤞	⿰⿱厶土某
U-0002A91F	𪤟	⿰土⿱雨火
U-0002A920	𪤠	⿰土联
U-0002A921	𪤡	⿰土毳
U-0002A922	𪤢	⿱訪⿻土丶
U-0002A923	𪤣	⿱陽土
U-0002A924	𪤤	⿰土⿺廴⿸尸⿱土㐄
U-0002A925	𪤥	⿱⿰南方土
U-0002A926	𪤦	⿰土雷
U-0002A927	𪤧	⿰土豊
U-0002A928	𪤨	⿰土喿
U-0002A929	𪤩	⿰土愈
U-0002A92A	𪤪	⿰土禄
U-0002A92B	𪤫	⿰土意
U-0002A92C	𪤬	⿰土⿳甫人水
U-0002A92D	𪤭	⿰土與
U-0002A92E	𪤮	⿰土鼻
U-0002A92F	𪤯	⿰土夐
U-0002A930	𪤰	⿰土齊
U-0002A931	𪤱	⿰土⿳⿶凵米公又
U-0002A932	𪤲	⿱磊土
U-0002A933	𪤳	⿰土齒
U-0002A934	𪤴	⿰土寮
U-0002A935	𪤵	⿰土⿳亠吕羊
U-0002A936	𪤶	⿰土霖
U-0002A937	𪤷	⿰𦰩壴
U-0002A938	𪤸	⿱士兀
U-0002A939	𪤹	⿰⿱士几⿱士几
U-0002A93A	𪤺	⿰声⿱𠂉丨
U-0002A93B	𪤻	⿳士⿹乛叿寸
U-0002A93C	𪤼	⿰壹益
U-0002A93D	𪤽	？
U-0002A93E	𪤾	⿰正夌
U-0002A93F	𪤿	⿱上夕
U-0002A940	𪥀	⿰夕巾
U-0002A941	𪥁	⿰外⿱𠂉丨
U-0002A942	𪥂	⿰夕米
U-0002A943	𪥃	⿱𡖇丐
U-0002A944	𪥄	⿰多皮
U-0002A945	𪥅	⿰夕郎
U-0002A946	𪥆	⿰夌多
U-0002A947	𪥇	⿱夕朝
U-0002A948	𪥈	⿱𡖇埋
U-0002A949	𪥉	⿰廩多
U-0002A94A	𪥊	⿱大乛
U-0002A94B	𪥋	⿰大刀
U-0002A94C	𪥌	⿱夫丁
U-0002A94D	𪥍	⿱木大
U-0002A94E	𪥎	⿰大戈
U-0002A94F	𪥏	⿳大八又
U-0002A950	𪥐	⿱丙大
U-0002A951	𪥑	⿱大平
U-0002A952	𪥒	⿱天巴
U-0002A953	𪥓	⿰未大
U-0002A954	𪥔	⿱大未
U-0002A955	𪥕	⿱⿱丿𠔿大
U-0002A956	𪥖	⿱大⿱一电
U-0002A957	𪥗	⿱匡大
U-0002A958	𪥘	⿲大方人
U-0002A959	𪥙	⿱𡗗市
U-0002A95A	𪥚	⿰奈乃
U-0002A95B	𪥛	⿱吹大
U-0002A95C	𪥜	⿳大丙土
U-0002A95D	𪥝	⿰空大
U-0002A95E	𪥞	⿱大屈
U-0002A95F	𪥟	⿱昛大
U-0002A960	𪥠	⿱前大
U-0002A961	𪥡	⿰竒大
U-0002A962	𪥢	⿰⿳𠂉卅工天
U-0002A963	𪥣	⿰𡘆兄
U-0002A964	𪥤	⿺竜大
U-0002A965	𪥥	⿳大吅𠕁
U-0002A966	𪥦	⿱動大
U-0002A967	𪥧	⿰盖大
U-0002A968	𪥨	⿱堹大
U-0002A969	𪥩	⿳贝⿰贝贝大
U-0002A96A	𪥪	⿱隊大
U-0002A96B	𪥫	⿱⿲火言火大
U-0002A96C	𪥬	⿰奚荒
U-0002A96D	𪥭	⿱上女
U-0002A96E	𪥮	⿰女亇
U-0002A96F	𪥯	⿰女互
U-0002A970	𪥰	⿰女止
U-0002A971	𪥱	⿰女日
U-0002A972	𪥲	⿰女攴
U-0002A973	𪥳	⿰女⿱几几
U-0002A974	𪥴	⿰女双
U-0002A975	𪥵	⿰女允
U-0002A976	𪥶	⿰女⿱山丁
U-0002A977	𪥷	⿰女旧
U-0002A978	𪥸	⿱亇奴
U-0002A979	𪥹	⿰女宁
U-0002A97A	𪥺	⿰女朿
U-0002A97B	𪥻	⿰女⿱一犮
U-0002A97C	𪥼	⿰女吊
U-0002A97D	𪥽	⿱自女
U-0002A97E	𪥾	⿰女羽
U-0002A97F	𪥿	⿰女⿱正&CDP-8BBF;
U-0002A980	𪦀	⿰女邦
U-0002A981	𪦁	⿱伯女
U-0002A982	𪦂	⿱勿好
U-0002A983	𪦃	⿰女⿺亢彡
U-0002A984	𪦄	⿳力功女
U-0002A985	𪦅	⿰奸乏
U-0002A986	𪦆	⿰女妻
U-0002A987	𪦇	⿰女長
U-0002A988	𪦈	⿰女𡘆
U-0002A989	𪦉	⿰妬⿱𠂉丨
U-0002A98A	𪦊	⿰女卖
U-0002A98B	𪦋	⿰女芳
U-0002A98C	𪦌	⿰女⿳丿田丂
U-0002A98D	𪦍	⿰女⿳丿罓大
U-0002A98E	𪦎	⿰女店
U-0002A98F	𪦏	⿰女𧈡
U-0002A990	𪦐	⿰女⿱巛龱
U-0002A991	𪦑	⿱妬之
U-0002A992	𪦒	⿰女封
U-0002A993	𪦓	⿰女匽
U-0002A994	𪦔	⿲女光久
U-0002A995	𪦕	⿰女咢
U-0002A996	𪦖	⿰女段
