;; -*- coding: utf-8-mcs-er -*-
U+3152A	𱔪	⿰口𮥷
U+3152B	𱔫	⿰口窖
U+3152C	𱔬	⿰口𬈋
U+3152D	𱔭	⿰口蛮
U+3152E	𱔮	⿰口⿱𦍌𧰨
U+3152F	𱔯	⿰口孱
U+31530	𱔰	⿰口疏
U+31531	𱔱	⿳𠙼田𠂡
U+31532	𱔲	⿰口給
U+31533	𱔳	⿰喜分
U+31534	𱔴	⿰口零
U+31535	𱔵	⿰口想
U+31536	𱔶	⿰口極
U+31537	𱔷	⿰啄央
U+31538	𱔸	⿰口搵
U+31539	𱔹	⿰口楼
U+3153A	𱔺	⿰口𩂕
U+3153B	𱔻	⿰口敬
U+3153C	𱔼	⿰口跡
U+3153D	𱔽	⿰口督
U+3153E	𱔾	⿰口睡
U+3153F	𱔿	⿰口触
U+31540	𱕀	⿰口窠
U+31541	𱕁	⿰口溪
U+31542	𱕂	⿱陶叱
U+31543	𱕃	⿰口遐
U+31544	𱕄	⿰口剿
U+31545	𱕅	⿰口暦
U+31546	𱕆	⿰口酷
U+31547	𱕇	⿰口様
U+31548	𱕈	⿰口墓
U+31549	𱕉	⿰口𮖐
U+3154A	𱕊	⿰口遣
U+3154B	𱕋	⿰口算
U+3154C	𱕌	⿰口箩
U+3154D	𱕍	⿰口箕
U+3154E	𱕎	⿰后婁
U+3154F	𱕏	⿰每唇
U+31550	𱕐	⿰口寥
U+31551	𱕑	⿰口韶
U+31552	𱕒	⿰口誨
U+31553	𱕓	⿱唇枚
U+31554	𱕔	⿰口慝
U+31555	𱕕	⿰口撥
U+31556	𱕖	⿰口樁
U+31557	𱕗	⿰口輦
U+31558	𱕘	⿰口𤍳
U+31559	𱕙	⿰口踪
U+3155A	𱕚	⿰口儉
U+3155B	𱕛	⿰口潭
U+3155C	𱕜	⿰口廟
U+3155D	𱕝	⿰口橧
U+3155E	𱕞	⿱殸咎
U+3155F	𱕟	⿰口横
U+31560	𱕠	⿰口整
U+31561	𱕡	⿰坦售
U+31562	𱕢	⿰口𥡝
U+31563	𱕣	⿰口諸
U+31564	𱕤	⿰口險
U+31565	𱕥	⿰嗎我
U+31566	𱕦	⿰口𩋘
U+31567	𱕧	⿰口繄
U+31568	𱕨	⿰口擎
U+31569	𱕩	⿱鋤叱
U+3156A	𱕪	⿰口擺
U+3156B	𱕫	⿰口甕
U+3156C	𱕬	⿰口謨
U+3156D	𱕭	⿰𦰩𦰩
U+3156E	𱕮	⿰口攀
U+3156F	𱕯	⿰口鵪
U+31570	𱕰	⿰口羸
U+31571	𱕱	⿰口聼
U+31572	𱕲	⿰口藴
U+31573	𱕳	⿰口競
U+31574	𱕴	⿰𠳄⿱余吕
U+31575	𱕵	⿰單厥
U+31576	𱕶	⿰噐重
U+31577	𱕷	⿰口⿱免⿰免免
U+31578	𱕸	⿴囗书
U+31579	𱕹	⿴囗包
U+3157A	𱕺	⿴囗虫
U+3157B	𱕻	⿴囗𠂭
U+3157C	𱕼	⿴囗关
U+3157D	𱕽	⿴囗农
U+3157E	𱕾	⿱比回
U+3157F	𱕿	⿴囗谷
U+31580	𱖀	⿴囗昏
U+31581	𱖁	⿴囗⿰爿歹
U+31582	𱖂	⿴囗录
U+31583	𱖃	⿴囗巷
U+31584	𱖄	⿴囗扁
U+31585	𱖅	⿱不圆
U+31586	𱖆	⿵冂土
U+31587	𱖇	⿰土干
U+31588	𱖈	⿰土兀
U+31589	𱖉	⿱巛土
U+3158A	𱖊	⿰土少
U+3158B	𱖋	⿱化土
U+3158C	𱖌	⿱仍土
U+3158D	𱖍	⿰土公
U+3158E	𱖎	⿰土夭
U+3158F	𱖏	⿰土仓
U+31590	𱖐	⿱文土
U+31591	𱖑	⿰土巨
U+31592	𱖒	⿰土戋
U+31593	𱖓	⿱玉土
U+31594	𱖔	⿳山一王
U+31595	𱖕	⿰土只
U+31596	𱖖	⿰土凸
U+31597	𱖗	⿱外土
U+31598	𱖘	⿰土处
U+31599	𱖙	⿰土仚
U+3159A	𱖚	⿱尔土
U+3159B	𱖛	⿰土𠆳
U+3159C	𱖜	⿰土圣
U+3159D	𱖝	⿰土再
U+3159E	𱖞	⿰土在
U+3159F	𱖟	⿰土匡
U+315A0	𱖠	⿱老土
U+315A1	𱖡	⿰土夺
U+315A2	𱖢	⿰土劣
U+315A3	𱖣	⿰&CDP-8968;坚
U+315A4	𱖤	⿰土任
U+315A5	𱖥	⿰土色
U+315A6	𱖦	⿱⿲𠆢𠆢𠆢土
U+315A7	𱖧	⿰土冲
U+315A8	𱖨	⿰土衣
U+315A9	𱖩	⿰土边
U+315AA	𱖪	⿱夾土
U+315AB	𱖫	⿰土巫
U+315AC	𱖬	⿰土来
U+315AD	𱖭	⿰土贡
U+315AE	𱖮	⿰土困
U+315AF	𱖯	⿱⼟囧
U+315B0	𱖰	⿰土妥
U+315B1	𱖱	⿰土希
U+315B2	𱖲	⿰土间
U+315B3	𱖳	⿰土⿱㓁工
U+315B4	𱖴	⿰土冝
U+315B5	𱖵	⿱卲土
U+315B6	𱖶	⿲土水土
U+315B7	𱖷	⿰土层
U+315B8	𱖸	⿱奔土
U+315B9	𱖹	⿰土來
U+315BA	𱖺	⿰土国
U+315BB	𱖻	⿱⿳⺊日八土
U+315BC	𱖼	⿰土败
U+315BD	𱖽	⿰土忠
U+315BE	𱖾	⿰土非
U+315BF	𱖿	⿰坚卞
U+315C0	𱗀	⿰土岳
U+315C1	𱗁	⿱侃土
U+315C2	𱗂	⿰土舍
U+315C3	𱗃	⿰土昏
U+315C4	𱗄	⿱𢪒土
U+315C5	𱗅	⿰土肴
U+315C6	𱗆	⿰土使
U+315C7	𱗇	⿱社土
U+315C8	𱗈	⿱幷土
U+315C9	𱗉	⿰土⿱六𧘇
U+315CA	𱗊	⿰土阿
U+315CB	𱗋	⿰土革
U+315CC	𱗌	⿰土剌
U+315CD	𱗍	⿰土𢆓
U+315CE	𱗎	⿰土幽
U+315CF	𱗏	⿰土览
U+315D0	𱗐	⿱里𡉀
U+315D1	𱗑	⿰土昨
U+315D2	𱗒	⿰土虐
U+315D3	𱗓	⿰坚永
U+315D4	𱗔	⿰土急
U+315D5	𱗕	⿱秋土
U+315D6	𱗖	⿰土总
U+315D7	𱗗	⿰土庠
U+315D8	𱗘	⿱降土
U+315D9	𱗙	⿰土叚
U+315DA	𱗚	⿰土勇
U+315DB	𱗛	⿰土套
U+315DC	𱗜	⿰土唇
U+315DD	𱗝	⿰土聂
U+315DE	𱗞	⿰土骨
U+315DF	𱗟	⿰土⿱田令
U+315E0	𱗠	⿰土虑
U+315E1	𱗡	⿰土虔
U+315E2	𱗢	⿰土晃
U+315E3	𱗣	⿱翁土
U+315E4	𱗤	⿰土皋
U+315E5	𱗥	⿰土袅
U+315E6	𱗦	⿰土脈
U+315E7	𱗧	⿱洍土
U+315E8	𱗨	⿰土恋
U+315E9	𱗩	⿰土退
U+315EA	𱗪	⿱規土
U+315EB	𱗫	⿰土雩
U+315EC	𱗬	⿱在於
U+315ED	𱗭	⿰土⿳业䒑川
U+315EE	𱗮	⿰土處
U+315EF	𱗯	⿰土斜
U+315F0	𱗰	⿰土躭
U+315F1	𱗱	⿰土彫
U+315F2	𱗲	⿰土笘
U+315F3	𱗳	⿱郭土
U+315F4	𱗴	⿱坏厓
U+315F5	𱗵	⿱⿰石豕土
U+315F6	𱗶	⿰土替
U+315F7	𱗷	⿱晶土
U+315F8	𱗸	⿰土最
U+315F9	𱗹	⿰土悶
U+315FA	𱗺	⿰土紫
U+315FB	𱗻	⿰土黑
U+315FC	𱗼	⿰垂弄
U+315FD	𱗽	⿰土進
U+315FE	𱗾	⿰坐卧
U+315FF	𱗿	⿰土寔
U+31600	𱘀	⿲土育攵
U+31601	𱘁	⿱就土
U+31602	𱘂	⿱媠土
U+31603	𱘃	⿰土費
U+31604	𱘄	⿱敬土
U+31605	𱘅	⿰土路
U+31606	𱘆	⿰土解
U+31607	𱘇	⿰土遁
U+31608	𱘈	⿱⿰氵害土
U+31609	𱘉	⿰土廉
U+3160A	𱘊	⿰土数
U+3160B	𱘋	⿰土兢
U+3160C	𱘌	⿰坚秩
U+3160D	𱘍	⿰土裴
U+3160E	𱘎	⿰土銀
U+3160F	𱘏	⿰土實
U+31610	𱘐	⿰土⿸产隹
U+31611	𱘑	⿰土察
U+31612	𱘒	⿰土遟
U+31613	𱘓	⿰土𨤮
U+31614	𱘔	⿰土隣
U+31615	𱘕	⿰土靜
U+31616	𱘖	⿰呂報
U+31617	𱘗	⿰土篭
U+31618	𱘘	⿰土闌
U+31619	𱘙	⿱⿰氵⿸产隹土
U+3161A	𱘚	⿱斷土
U+3161B	𱘛	⿰土爕
U+3161C	𱘜	⿱勸土
U+3161D	𱘝	⿰土灌
U+3161E	𱘞	⿰土欒
U+3161F	𱘟	⿰土靈
U+31620	𱘠	⿰声卒
U+31621	𱘡	⿰壹丕
U+31622	𱘢	⿰声察
U+31623	𱘣	⿺夂令
U+31624	𱘤	⿱&CDP-8CD4;夊
U+31625	𱘥	⿳⿶凵米八夊
U+31626	𱘦	⿰夕刀
U+31627	𱘧	⿰余多
U+31628	𱘨	⿰宜多
U+31629	𱘩	⿰夜店
U+3162A	𱘪	⿰覓多
U+3162B	𱘫	⿲&CDP-8968;堯多
U+3162C	𱘬	⿸厭夢
U+3162D	𱘭	⿱大⺗
U+3162E	𱘮	⿱大方
U+3162F	𱘯	⿰可大
U+31630	𱘰	⿱大尖
U+31631	𱘱	⿰弄大
U+31632	𱘲	⿱大男
U+31633	𱘳	⿱⿲亻丨支大
U+31634	𱘴	⿰夹及
U+31635	𱘵	⿱大吝
U+31636	𱘶	⿱天怕
U+31637	𱘷	⿱天例
U+31638	𱘸	⿱大郎
U+31639	𱘹	⿰𠦝𡗢
U+3163A	𱘺	⿰夾劫
U+3163B	𱘻	⿱旣大
