;; -*- coding: utf-8-mcs-er -*-
HZK10-A86E	&HZK10-A86E;	⿰&CDP-8B6B;&GT-21300;
HZK10-A86F	&HZK10-A86F;	⿰&CDP-8B6B;&GT-00379;
HZK10-A870	&HZK10-A870;	⿰&CDP-8B6B;&GT-17214;
HZK10-A871	&HZK10-A871;	&CDP-8B6B;丷丂
HZK10-A872	&HZK10-A872;	⿱&B-A8AC;火
HZK10-A873	&HZK10-A873;	⿰&CDP-8B6B;斗
HZK10-A874	&HZK10-A874;	⿰&CDP-8B6B;冘
HZK10-A8A9	&HZK10-A8A9;	⿰&CDP-8B6B;引
HZK10-A8AA	&HZK10-A8AA;	⿰&CDP-8B6B;&GT-00033;
HZK10-A8AC	&HZK10-A8AC;	⿰&CDP-8B6B;玉
HZK10-A8AD	&HZK10-A8AD;	⿰&CDP-8B6B;未
HZK10-A8AE	&HZK10-A8AE;	⿰&CDP-8B6B;末
HZK10-A8AF	&HZK10-A8AF;	⿰&CDP-8B6B;&CDP-89DC;
HZK10-A8B0	&HZK10-A8B0;	⿰&CDP-8B6B;邛
HZK10-A8B1	&HZK10-A8B1;	⿰&CDP-8B6B;去
HZK10-A8B2	&HZK10-A8B2;	⿰&CDP-8B6B;&GT-27544;
HZK10-A8B5	&HZK10-A8B5;	⿰&CDP-8B6B;本
HZK10-A8B6	&HZK10-A8B6;	⿰&CDP-8B6B;&GT-18344;
HZK10-A8B7	&HZK10-A8B7;	⿰&CDP-8B6B;可
HZK10-A8B8	&HZK10-A8B8;	⿰&CDP-8B6B;叵
HZK10-CAA7	&HZK10-CAA7;	⻎矣
HZK10-CAA9	&HZK10-CAA9;	⻎災
HZK10-CAAA	&HZK10-CAAA;	⻎&B-AB43;
HZK10-CAAB	&HZK10-CAAB;	⻎⺘&CDP-8C55;
HZK10-CAAD	&HZK10-CAAD;	⻎亞
HZK10-CAAE	&HZK10-CAAE;	⻎&CDP-8B5C;木
HZK10-CAAF	&HZK10-CAAF;	⻎&GT-03992;
HZK10-CAC7	&HZK10-CAC7;	⻎昔
HZK10-CAC8	&HZK10-CAC8;	⻎林
HZK10-CAC9	&HZK10-CAC9;	⻎杳
HZK10-CACA	&HZK10-CACA;	⻎奇
HZK10-CACB	&HZK10-CACB;	⻎大石
HZK10-CACC	&HZK10-CACC;	⻎奔
HZK10-CACD	&HZK10-CACD;	⻎來
HZK10-CACE	&HZK10-CACE;	⻎疌
HZK10-CACF	&HZK10-CACF;	⻎一巛&CDP-8BBC;
HZK10-CAD0	&HZK10-CAD0;	⻎&B-AB44;
HZK10-CAD1	&HZK10-CAD1;	⻎止&CDP-8B68;
HZK10-CAD3	&HZK10-CAD3;	⻎⺊同
HZK10-CAD4	&HZK10-CAD4;	⻎⺊囗&GT-07201;
HZK10-CAD5	&HZK10-CAD5;	⻎&B-AAEA;
HZK10-CAE7	&HZK10-CAE7;	⻎易
HZK10-CAE8	&HZK10-CAE8;	⻎丳
HZK10-CAE9	&HZK10-CAE9;	⻎口冋
HZK10-CAEA	&HZK10-CAEA;	⻎咖
HZK10-CAEB	&HZK10-CAEB;	⻌&GT-36329;夕
HZK10-CAEC	&HZK10-CAEC;	⻎山&GT-00138;
HZK10-CAED	&HZK10-CAED;	⻎沓
HZK10-CB48	&HZK10-CB48;	⻎&CDP-88EB;
HZK10-CB68	&HZK10-CB68;	⻎丿土乚土
HZK10-CB6A	&HZK10-CB6A;	⻎侃
HZK10-CB6B	&HZK10-CB6B;	⻎亻口巛
HZK10-CBAA	&HZK10-CBAA;	⻎亻关
HZK10-CBAB	&HZK10-CBAB;	⻎𠂆一⿱巾巾
HZK10-CBAC	&HZK10-CBAC;	⻎爪毛
HZK10-CBAD	&HZK10-CBAD;	⻎⺤壬
HZK10-A8CB	&HZK10-A8CB;	⿰&CDP-8B6B;戉
HZK10-A8E9	&HZK10-A8E9;	⿱尙&CDP-8B68;
HZK10-A8EB	&HZK10-A8EB;	⿰&CDP-8B6B;甲
HZK10-A8EC	&HZK10-A8EC;	⿰&CDP-8B6B;田
HZK10-A8ED	&HZK10-A8ED;	⿰&CDP-8B6B;冉
HZK10-A94A	&HZK10-A94A;	⿰&CDP-8B6B;乍
HZK10-A94B	&HZK10-A94B;	&CDP-8B6B;𠂉小
HZK10-A94C	&HZK10-A94C;	&CDP-8B6B;丿友
HZK10-A94D	&HZK10-A94D;	⿰&CDP-8B6B;㐌
HZK10-A94E	&HZK10-A94E;	⿰&CDP-8B6B;丘
HZK10-A96A	&HZK10-A96A;	⿰斥&B-A8AC;
HZK10-A96B	&HZK10-A96B;	⿰&CDP-8B6B;瓜
HZK10-A96D	&HZK10-A96D;	⿰&CDP-8B6B;&JX1-4F5B;
HZK10-A96F	&HZK10-A96F;	⿰&CDP-8B6B;&GT-00521;
HZK10-A970	&HZK10-A970;	⿰&CDP-8B6B;&CDP-86BF;
HZK10-A972	&HZK10-A972;	⿰&CDP-8B6B;&M-17027;
HZK10-A973	&HZK10-A973;	⿰&CDP-8B6B;句
HZK10-A974	&HZK10-A974;	⿰&CDP-8B6B;册
HZK10-A9AC	&HZK10-A9AC;	&CDP-8B6B;&CDP-8B5B;巳
HZK10-A9AF	&HZK10-A9AF;	⿰&CDP-8B6B;必
HZK10-A9B0	&HZK10-A9B0;	&CDP-8B6B;&CDP-89B3;&M-03115;
HZK10-A9B1	&HZK10-A9B1;	⿰&CDP-8B6B;尻
HZK10-A9B3	&HZK10-A9B3;	&CDP-8B6B;尸&M-03115;
HZK10-A9B4	&HZK10-A9B4;	⿰&CDP-8B6B;民
HZK10-A9B5	&HZK10-A9B5;	⿰&CDP-8B6B;弗
HZK10-A9CC	&HZK10-A9CC;	&CDP-8B6B;弓人
HZK10-A9CD	&HZK10-A9CD;	⿰&CDP-8B6B;出
HZK10-A9D1	&HZK10-A9D1;	⿰&CDP-8B6B;矛
HZK10-A9D2	&HZK10-A9D2;	⿰&CDP-8B6B;母
HZK10-A9D3	&HZK10-A9D3;	⿰&CDP-8B6B;匡
HZK10-A9D4	&HZK10-A9D4;	⿰&CDP-8B6B;幵
HZK10-A9EE	&HZK10-A9EE;	⿰&CDP-8B6B;吉
HZK10-A9F0	&HZK10-A9F0;	⿰&CDP-8B6B;朿
HZK10-A9F2	&HZK10-A9F2;	⿰&CDP-8B6B;在
HZK10-A9F3	&HZK10-A9F3;	⿰&CDP-8B6B;存
HZK10-AA4D	&HZK10-AA4D;	&CDP-8B6B;大㐄
HZK10-AA4E	&HZK10-AA4E;	⿰&CDP-8B6B;&CDP-8D7D;
HZK10-AA50	&HZK10-AA50;	&CDP-8B6B;&CDP-89D9;兀
HZK10-AA51	&HZK10-AA51;	&CDP-8B6B;&C1-4552;十
HZK10-AA53	&HZK10-AA53;	⿰&CDP-8B6B;尗
HZK10-AA6D	&HZK10-AA6D;	⿱&C1-483A;&B-A8AC;
HZK10-AA6E	&HZK10-AA6E;	⿰&CDP-8B6B;𠕋
HZK10-AA70	&HZK10-AA70;	⿰曲&CDP-8B6B;
HZK10-AA71	&HZK10-AA71;	⿰&CDP-8B6B;曲
HZK10-AA72	&HZK10-AA72;	⿰&CDP-8B6B;同
HZK10-AA73	&HZK10-AA73;	⿰&CDP-8B6B;&CDP-8B79;
HZK10-AA74	&HZK10-AA74;	⿰&CDP-8B6B;&B-A6D4;
HZK10-AA76	&HZK10-AA76;	⿰&CDP-8B6B;&CDP-8CE9;
HZK10-AA78	&HZK10-AA78;	&CDP-8B6B;&CDP-8BD4;壬
HZK10-AA79	&HZK10-AA79;	⿰&CDP-8B6B;⾆
HZK10-AA7A	&HZK10-AA7A;	&CDP-8B6B;⻌千
HZK10-AA7B	&HZK10-AA7B;	&CDP-8B6B;𠂉&GT-00379;
HZK10-AA7C	&HZK10-AA7C;	⿰&CDP-8B6B;伏
HZK10-AA7D	&HZK10-AA7D;	⿰&CDP-8B6B;伐
HZK10-AAAF	&HZK10-AAAF;	⿰&CDP-8B6B;&M-09569;
HZK10-AAB0	&HZK10-AAB0;	&CDP-8B6B;𠂆十几
HZK10-AAB1	&HZK10-AAB1;	⿰&CDP-8B6B;&B-A6E6;
HZK10-AACF	&HZK10-AACF;	⿰&CDP-8B6B;企
HZK10-AAD2	&HZK10-AAD2;	⿰&CDP-8B6B;旬
HZK10-AAD3	&HZK10-AAD3;	⿰&CDP-8B6B;&CDP-8D5F;
HZK10-AAF0	&HZK10-AAF0;	&CDP-8B6B;&GT-11620;干
HZK10-CBCB	&HZK10-CBCB;	⻎&GT-16622;
HZK10-CBCC	&HZK10-CBCC;	⻎𠫓木
HZK10-CBCD	&HZK10-CBCD;	⻎&B-A87C;
HZK10-CBCE	&HZK10-CBCE;	⻎火&CDP-887D;
HZK10-CBD0	&HZK10-CBD0;	&CDP-8A74;&CDP-897C;一火
HZK10-CBEC	&HZK10-CBEC;	⻎&GT-11133;
HZK10-CBED	&HZK10-CBED;	⻎⿱&GT-00033;&GT-00033;
HZK10-CBEE	&HZK10-CBEE;	⻎&CDP-8DF9;&M-03115;
HZK10-CBEF	&HZK10-CBEF;	⻎巛𠔼刂
HZK10-CBF0	&HZK10-CBF0;	⻎&GT-17504;
HZK10-CBF1	&HZK10-CBF1;	⻎&B-AD75;
HZK10-CBF2	&HZK10-CBF2;	⻎壴
HZK10-CC6B	&HZK10-CC6B;	⻎⺿&GT-18344;
HZK10-CC6D	&I-HZK10-CC6D;	⻎⺿冋
HZK10-CC6E	&HZK10-CC6E;	⻎&CDP-8CAD;
HZK10-CC6F	&HZK10-CC6F;	⻎木&GT-00458;&CDP-8BF1;
HZK10-CC70	&HZK10-CC70;	⻎木用
HZK10-CC71	&HZK10-CC71;	⻎枷
HZK10-CCAD	&HZK10-CCAD;	⻎&B-A6E8;廾
HZK10-CCAF	&HZK10-CCAF;	⻎&B-ADB6;
HZK10-CCB0	&HZK10-CCB0;	⻎大𠮷
HZK10-CCB1	&HZK10-CCB1;	⻎大&B-A6E8;
HZK10-CCB2	&HZK10-CCB2;	⻎𡗜一&CDP-8BF1;
HZK10-CCB3	&HZK10-CCB3;	⻎来力
HZK10-CCB4	&HZK10-CCB4;	⻎止目
HZK10-CCB6	&HZK10-CCB6;	⻎𠧪
HZK10-CCB7	&HZK10-CCB7;	⻎&B-CA4F;巾
HZK10-CCB8	&HZK10-CCB8;	⻎日正
HZK10-CCB9	&HZK10-CCB9;	⻎是
HZK10-CCBB	&HZK10-CCBB;	⻎日⺢
HZK10-CCCD	&HZK10-CCCD;	⻎日儿&GT-07201;
HZK10-CCCF	&HZK10-CCCF;	⻌&CDP-8C48;贝
HZK10-CCD0	&HZK10-CCD0;	⻎⿰口口于
HZK10-CCD1	&HZK10-CCD1;	⻎咢
HZK10-CCED	&HZK10-CCED;	⻎山&CDP-86B7;
HZK10-CCEF	&HZK10-CCEF;	⻎回夕
HZK10-CCF0	&HZK10-CCF0;	⻎囗&GT-01888;日
HZK10-CCF1	&HZK10-CCF1;	⻎垂
HZK10-CCF2	&HZK10-CCF2;	⻎卸
HZK10-CCF3	&HZK10-CCF3;	⻎臿
HZK10-CCF4	&HZK10-CCF4;	⻎&B-ADAB;
HZK10-CCF5	&HZK10-CCF5;	⻎&CDP-8DD9;
HZK10-CCF6	&HZK10-CCF6;	⻎亻灷
HZK10-CD4F	&HZK10-CD4F;	⻎&CDP-88E7;
HZK10-CD50	&HZK10-CD50;	⻎勹&B-A8AE;
HZK10-CD51	&HZK10-CD51;	⻎&M-09980;
HZK10-CD6E	&HZK10-CD6E;	⻎&GT-11194;
HZK10-CD70	&HZK10-CD70;	⻎𠫓&CDP-8BAD;
HZK10-CDB1	&HZK10-CDB1;	⿱&M-38825;乆
HZK10-AB50	&HZK10-AB50;	⿰&CDP-8B6B;庄
HZK10-AB52	&HZK10-AB52;	⿱&GT-00384;&B-A8AC;
HZK10-AB53	&HZK10-AB53;	&CDP-8B6B;&GT-11620;乇
HZK10-AB54	&HZK10-AB54;	⿰&CDP-8B6B;&CDP-8A54;
HZK10-AB56	&HZK10-AB56;	⿰&CDP-8B6B;&M-15992;
HZK10-AB57	&HZK10-AB57;	⿰&CDP-8B6B;&GT-00387;
HZK10-AB58	&HZK10-AB58;	⿰&CDP-8B6B;羊
HZK10-AB5A	&HZK10-AB5A;	⿰&CDP-8B6B;&B-A6CC;
HZK10-AB5B	&HZK10-AB5B;	⿰&CDP-8B6B;&GT-08889;
HZK10-AB5C	&HZK10-AB5C;	⿰&CDP-8B6B;聿
HZK10-AB70	&HZK10-AB70;	⿰&CDP-8B6B;丞
HZK10-AB71	&HZK10-AB71;	&CDP-8B6B;乃木
HZK10-AB72	&HZK10-AB72;	⿰&CDP-8B6B;&CDP-8B6A;
HZK10-AB73	&HZK10-AB73;	⿲&CDP-8B6B;&CDP-8DF6;&M-03115;
HZK10-AB74	&HZK10-AB74;	&CDP-8B6B;巛夕
HZK10-AB75	&HZK10-AB75;	&CDP-8B6B;&CDP-897D;寸
HZK10-AB76	&HZK10-AB76;	⿰&CDP-8B6B;吞
HZK10-AB77	&HZK10-AB77;	⿰&CDP-8B6B;扶
HZK10-AB79	&HZK10-AB79;	⿰&CDP-8B6B;折
HZK10-AB7C	&HZK10-AB7C;	⿲&CDP-8B6B;去卩
HZK10-AB7E	&HZK10-AB7E;	⿰&CDP-8B6B;求
HZK10-ABB2	&HZK10-ABB2;	⿰&CDP-8B6B;孛
HZK10-ABB3	&HZK10-ABB3;	⿰&CDP-8B6B;甫
HZK10-ABB4	&HZK10-ABB4;	⿰&CDP-8B6B;&M-14283;
HZK10-ABB5	&HZK10-ABB5;	⿰&CDP-8B6B;束
HZK10-ABB6	&HZK10-ABB6;	⿰&CDP-8B6B;&B-A8A7;
HZK10-ABB7	&HZK10-ABB7;	⿰&CDP-8B6B;&B-A8B0;
HZK10-ABB8	&HZK10-ABB8;	⿰&CDP-8B6B;夾
HZK10-ABB9	&HZK10-ABB9;	⿰&CDP-8B6B;巠
HZK10-ABBC	&HZK10-ABBC;	⿰&CDP-8B6B;旱
HZK10-ABBD	&HZK10-ABBD;	⿰&CDP-8B6B;&B-A8A9;
HZK10-ABBE	&HZK10-ABBE;	⿰&CDP-8B6B;&B-A8A3;
HZK10-ABD2	&HZK10-ABD2;	&CDP-8B6B;目匕
HZK10-ABD4	&HZK10-ABD4;	⿰&CDP-8B6B;困
HZK10-ABD5	&HZK10-ABD5;	⿰&CDP-8B6B;&M-03363;
HZK10-ABD6	&HZK10-ABD6;	⿰&CDP-8B6B;岑
HZK10-ABD7	&HZK10-ABD7;	⿰&CDP-8B6B;告
HZK10-ABD8	&HZK10-ABD8;	⿰&CDP-8B6B;我
HZK10-ABD9	&HZK10-ABD9;	&CDP-8B6B;𠂉&CDP-8B6D;乚
HZK10-ABDA	&HZK10-ABDA;	&CDP-8B6B;升土
HZK10-ABDB	&HZK10-ABDB;	⿰&CDP-8B6B;&CDP-8DA6;
HZK10-ABDD	&HZK10-ABDD;	&CDP-8B6B;丿&CDP-8BC5;乚匕
HZK10-ABDF	&HZK10-ABDF;	⿰&CDP-8B6B;作
HZK10-ABE0	&HZK10-ABE0;	&CDP-8B6B;⺤寸
