;; -*- coding: utf-8-mcs-er -*-
C1-4763	&I-C1-4763;	⿸&CDP-88F1;土
C1-4764	&I-C1-4764;	⿱土土
C1-4765	&I-C1-4765;	⿰&GT-K00199;亏
C1-4766	&I-C1-4766;	⿰&GT-K00199;巳
C1-4767	&I-C1-4767;	⿰&GT-K00199;于
C1-4768	&I-C1-4768;	⿵几歹
C1-4769	&I-C1-4769;	⿱夕夕
C1-476A	&I-C1-476A;	夷
C1-476B	&I-C1-476B;	⿱大亏
C1-476C	&C1-476C;	⿱&C1-4441;&C1-444C;
C1-476D	&C1-476D;	⿰&C1-444C;干
C1-476E	&C1-476E;	⿰&C1-444C;己
C1-476F	&C1-476F;	⿰&C1-444C;子
C1-4770	&C1-4770;	⿰&C1-444C;&C1-443E;
C1-4771	&C1-4771;	⿰&C1-444C;口
C1-4772	&I-C1-4772;	⿰&C1-444C;勺
C1-4773	&I-C1-4773;	⿱宀子
C1-4774	&I-C1-4774;	⿸&CDP-88F1;子
C1-4775	&I-C1-4775;	⿱宀于
C1-4776	&I-C1-4776;	⿱宀寸
C1-4777	&C1-4777;	⿱宀&JX2-2129;
C1-4778	&C1-4778;	⿱宀&C1-444C;
C1-4779	&C1-4779;	⿱士寸
C1-477A	&I-C1-477A;	⿱&GT-K00305;大
C1-477B	&I-C1-477B;	⿰山乞
C1-477C	&C1-477C;	&C1-477C;
C1-477D	&I-C1-477D;	⿰巾凡
C1-477E	&I-C1-477E;	⿱丷开
C1-4821	&I-C1-4821;	年
C1-4822	&I-C1-4822;	⿹弋工
C1-4823	&I-C1-4823;	⿰弓&C1-443E;
C1-4824	&C1-4824;	⿰⺖&C1-4441;
C1-4825	&I-C1-4825;	⿰⺖寸
C1-4826	&I-C1-4826;	⿹&GT-14544;十
C1-4827	&I-C1-4827;	⿵戊一
C1-4828	&I-C1-4828;	⿵戊丶
C1-4829	&I-C1-4829;	⿵戊𠃌
C1-482A	&I-C1-482A;	⿰⺘口
C1-482B	&I-C1-482B;	⿰⺘工
C1-482C	&I-C1-482C;	⿰⺘乇
C1-482D	&I-C1-482D;	⿰丩攵
C1-482E	&I-C1-482E;	⿱日十
C1-482F	&C1-482F;	⿱匕日
C1-4830	&I-C1-4830;	⿹勹日
C1-4831	&I-C1-4831;	⿺九日
C1-4832	&I-C1-4832;	曲
C1-4833	&I-C1-4833;	曳
C1-4834	&C1-4834;	⿱𠂇月
C1-4835	&I-C1-4835;	⿰木丂
C1-4836	&I-C1-4836;	⿰木卜
C1-4837	&I-C1-4837;	⿰丿未
C1-4838	&C1-4838;	⿱几木
C1-4839	&C1-4839;	⿰二&GT-20571;
C1-483A	&C1-483A;	⿰&GT-K00439;匕
C1-483B	&C1-483B;	⿸歹匕
C1-483C	&I-C1-483C;	⿹气乃
C1-483D	&C1-483D;	⿰⺡&C1-444C;
C1-483E	&I-C1-483E;	⿰⺡干
C1-483F	&I-C1-483F;	⿰⺡于
C1-4840	&I-C1-4840;	⿰⺡工
C1-4841	&C1-4841;	⿰⺡&C1-443E;
C1-4842	&I-C1-4842;	⿰⺡夕
C1-4843	&I-C1-4843;	⿰⺡山
C1-4844	&I-C1-4844;	⿰⺡亏
C1-4845	&I-C1-4845;	⿰⺡卂
C1-4846	&C1-4846;	⿰⺡&GT-00132;
C1-4847	&I-C1-4847;	⿰⺡凡
C1-4848	&C1-4848;	⿸𠂇&C1-4556;
C1-4849	&I-C1-4849;	⿱厶牛
C1-484A	&I-C1-484A;	⿰牜匕
C1-484B	&I-C1-484B;	⿱一白
C1-484C	&I-C1-484C;	竹
C1-484D	&C1-484D;	&C1-484D;
C1-484E	&I-C1-484E;	⿱幺&GT-K00305;
C1-484F	&I-C1-484F;	缶
C1-4850	&I-C1-4850;	羊
C1-4851	&I-C1-4851;	⿰习习
C1-4852	&C1-4852;	⿱耂匕
C1-4853	&I-C1-4853;	⿱耂丂
C1-4854	&I-C1-4854;	而
