;; -*- coding: utf-8-mcs-er -*-
CB00265	&CB00265;	⿰矛令󠄀
CB00266	&CB00266;	⿰矛&GT-37890;
CB00267	&CB00267;	⿰矛贊
CB00268	&CB00268;	⿰石⿱⿰王&M-08722;木
CB00269	&CB00269;	⿰石歷
CB00270	&CB00270;	⿰&M-24623;尃
CB00271	&CB00271;	⿰禾亢󠄀
CB00272	&CB00272;	⿰禾曷
CB00273	&CB00273;	⿰禾&M-11170;
CB00274	&CB00274;	⿱&M-25406;⿱&GT-25225;缶
CB00275	&CB00275;	⿱&M-25406;⿱厶心
CB00276	&CB00276;	⿱&M-25406;井
CB00277	&CB00277;	⿰&GT-33181;令󠄀
CB00278	&CB00278;	⿰&GT-33181;&GT-33181;
CB00279	&CB00279;	⿰&GT-33181;寺
CB00280	&CB00280;	⿰&GT-33181;&M-07055;
CB00281	&CB00281;	⿰&GT-33181;厘
CB00282	&I-CB00282;	&M-00310;
CB00283	&I-CB00283;	⿰交󠄁力
CB00284	&I-CB00284;	⿱休心
CB00285	&I-CB00285;	⿱任几
CB00286	&I-CB00286;	⿱&GT-00458;丨
CB00287	&I-CB00287;	⿰冫中
CB00288	&I-CB00288;	⿰冫兄
CB00289	&I-CB00289;	⿰冫京󠄀
CB00290	&CB00290;	⿰冫&GT-59026;
CB00291	&CB00291;	⿱匈月
CB00292	&CB00292;	⿰合牛
CB00293	&CB00293;	⿱朱&M-48257;
CB00294	&CB00294;	⿰米比
CB00295	&CB00295;	⿰米&GT-39586;
CB00296	&CB00296;	⿰米會
CB00297	&CB00297;	⿰&GT-35079;亘
CB00298	&CB00298;	⿰&GT-35079;戔
CB00299	&CB00299;	⿰羊⿹勹&GT-27544;
CB00300	&CB00300;	⿰羊鳥
CB00301	&CB00301;	⿰&GT-37363;芸
CB00302	&CB00302;	⿰耳止
CB00303	&CB00303;	⿰耳垂
CB00304	&CB00304;	⿱自大
CB00305	&CB00305;	⿱自死
CB00306	&CB00306;	⿰至鳥
CB00307	&CB00307;	⿰舟&M-11617;
CB00308	&CB00308;	⿱&CDP-8B5B;&GT-64754;
CB00309	&CB00309;	⿰虫也
CB00310	&CB00310;	⿰虫有
CB00311	&CB00311;	⿰虫昆
CB00312	&CB00312;	⿰虫罔
CB00313	&CB00313;	⿰虫&M-30731;
CB00314	&CB00314;	⿰血刃
CB00315	&I-CB00315;	⿰皮刂
CB00316	&CB00316;	&CB00316;
CB00317	&I-CB00317;	⿰戔刂
CB00318	&I-CB00318;	⿰呆呆
CB00319	&I-CB00319;	⿱君巾
CB00320	&I-CB00320;	⿱君羊
CB00321	&I-CB00321;	⿱&GT-08869;火
CB00322	&I-CB00322;	⿱&GT-08869;悟
CB00323	&I-CB00323;	⿱&GT-08869;&GT-35153;
CB00324	&CB00324;	⿱&GT-08869;巢
CB00325	&CB00325;	&CB00325;
CB00326	&CB00326;	&CB00326;
CB00327	&I-CB00327;	⿺廴回
CB00328	&CB00328;	⿱我鳥
CB00329	&I-CB00329;	⿰句攵
CB00330	&I-CB00330;	⿰束力
CB00331	&I-CB00331;	⿰束束
CB00332	&CB00332;	⿰束頁
CB00333	&CB00333;	⿰⺨&GT-14886;
CB00334	&CB00334;	⿰⺨加
CB00335	&CB00335;	⿰⺨&M-08722;
CB00336	&CB00336;	⿰⺨各
CB00337	&CB00337;	⿰⺨者
CB00338	&CB00338;	⿰⺨&GT-25242;
CB00339	&CB00339;	⿰⺨&GT-40205;
CB00340	&CB00340;	⿰⺨虛
CB00341	&CB00341;	⿰⺨禽
CB00342	&CB00342;	⿰⺨&GT-30367;
CB00343	&CB00343;	⿰甫頁
CB00344	&CB00344;	⿰&GT-47348;我
CB00345	&CB00345;	⿰&GT-47348;並
CB00346	&CB00346;	⿰&GT-47348;屈
CB00347	&CB00347;	⿰&GT-47348;哥
CB00348	&CB00348;	⿰&GT-47348;&M-30184;
CB00349	&CB00349;	⿰&GT-47348;斯
CB00350	&CB00350;	&CB00350;
CB00351	&CB00351;	⿰&GT-47348;朝
CB00352	&CB00352;	⿰&GT-47348;賈
CB00353	&CB00353;	⿰&GT-47348;適
CB00354	&CB00354;	⿰&GT-47348;閻
CB00355	&CB00355;	⿰&GT-47348;&M-32330;
CB00356	&I-CB00356;	⿰豆斗
CB00357	&CB00357;	⿰貝余
CB00358	&CB00358;	辵
CB00359	&CB00359;	⿰身分󠄃
CB00360	&CB00360;	⿰身果
CB00361	&CB00361;	⿰身冘
CB00362	&CB00362;	⿰身豊
CB00363	&CB00363;	⿰車乞
CB00364	&CB00364;	⿰車&GT-03992;
CB00365	&CB00365;	⿰車耎
CB00366	&CB00366;	⿱車口
CB00367	&CB00367;	⿰酉咸
CB00368	&CB00368;	⿰里也
CB00369	&CB00369;	⿰&GT-35079;乚
CB00370	&CB00370;	⿰虫乚
CB00371	&CB00371;	⿰卓乚
CB00372	&CB00372;	⿰亞鳥
CB00373	&CB00373;	⿰典見
CB00374	&I-CB00374;	⿱𠔉󠄀力
CB00375	&CB00375;	⿰&GT-03504;頁
CB00376	&CB00376;	⿰卑頁
CB00377	&I-CB00377;	⿰&GT-03636;力
CB00378	&I-CB00378;	⿱和心
CB00379	&I-CB00379;	⿰禾&GT-09429;
CB00380	&I-CB00380;	⿱&CDP-8DD8;小
CB00381	&CB00381;	⿰帛&GT-35081;
CB00382	&I-CB00382;	⿰⺖&CDP-8CBE;
CB00383	&I-CB00383;	⿰⺖在
CB00384	&I-CB00384;	⿰⺖利
CB00385	&I-CB00385;	⿰⺖&M-03327;
CB00386	&I-CB00386;	⿰⺖吳
CB00387	&I-CB00387;	⿰⺖牢
CB00388	&I-CB00388;	⿰⺖&M-30682;
CB00389	&CB00389;	⿰⺖&GT-40124;
CB00390	&I-CB00390;	⿰⺖&M-09791;
CB00391	&I-CB00391;	⿰⺖疾
CB00392	&I-CB00392;	⿰⺖&GT-16699;
CB00393	&I-CB00393;	⿰⺖喜
CB00394	&I-CB00394;	⿰⺖隋
CB00395	&CB00395;	⿰⺖龍
CB00396	&I-CB00396;	⿰⺖劦
CB00397	&I-CB00397;	⿰⺖尃
CB00398	&CB00398;	⿰昆鳥
CB00399	&CB00399;	⿱果&GT-45972;
CB00400	&I-CB00400;	⿰⺡𦓔
CB00401	&I-CB00401;	⿰⺡⿱臼工
CB00402	&I-CB00402;	⿰⺡⿱&M-09433;去
CB00403	&I-CB00403;	⿰⺡公󠄁
CB00404	&I-CB00404;	⿰⺡侵󠄁
CB00405	&I-CB00405;	⿰⺡崖
CB00406	&I-CB00406;	⿰⺡敕
CB00407	&CB00407;	&CB00407;
CB00408	&CB00408;	⿰⺡&M-07282;
CB00409	&CB00409;	⿰⺡&M-36950;
CB00410	&I-CB00410;	⿱泥土
CB00411	&CB00411;	&CB00411;
CB00412	&I-CB00412;	⿱物心
CB00413	&CB00413;	⿱直心
CB00414	&CB00414;	⿱知耳
CB00415	&CB00415;	⿱⺮別
CB00416	&CB00416;	⿱⺮帚
CB00417	&CB00417;	⿱⺮耑
CB00418	&CB00418;	⿰者見
CB00419	&CB00419;	⿰舍&GT-08922;
